f;fase;jogo;jogo_origem1;jogo_origem2;time1;time2
16;16 avos;1;;;57;32
16;16 avos;2;;;9;6
16;16 avos;3;;;12;53
16;16 avos;4;;;4;28
16;16 avos;5;;;8;18
16;16 avos;6;;;16;74
16;16 avos;7;;;2;23
16;16 avos;8;;;7;13
16;16 avos;9;;;1;17
16;16 avos;10;;;46;19
16;16 avos;11;;;10;25
16;16 avos;12;;;5;61
16;16 avos;13;;;14;38
16;16 avos;14;;;11;77
16;16 avos;15;;;27;34
16;16 avos;16;;;3;72
8;oitavas;22;11;12;;
8;oitavas;23;13;14;;
8;oitavas;24;15;16;;
8;oitavas;17;1;2;;
8;oitavas;20;7;8;;
8;oitavas;18;3;4;;
8;oitavas;21;9;10;;
8;oitavas;19;5;6;;
4;quartas;27;21;22;;
4;quartas;25;17;18;;
4;quartas;26;19;20;;
4;quartas;28;23;24;;
2;semi;30;27;28;;
2;semi;29;25;26;;
1;FINAL;31;29;30;;
