id;nome;sigla;rank_atual_fifa;pontos_atuais_fifa
1;Brazil;BRA;5;1804.92
2;Spain;ESP;1;1995.88
3;Argentina;ARG;2;1970.37
4;France;FRA;3;1948.97
5;England;ENG;4;1922.83
6;Morocco;MAR;6;1803.99
7;Portugal;POR;7;1787.85
8;Belgium;BEL;8;1778.36
9;Netherlands;NED;9;1775.54
10;Mexico;MEX;10;1754.30
11;Colombia;COL;11;1739.89
12;Germany;GER;12;1726.22
13;Croatia;CRO;13;1723.05
14;Switzerland;SUI;14;1710.88
15;Italy;ITA;15;1704.73
16;USA;USA;16;1690.33
17;Japan;JPN;17;1673.68
18;Senegal;SEN;18;1653.43
19;Norway;NOR;19;1651.29
20;Uruguay;URU;20;1634.70
21;Denmark;DEN;21;1619.47
22;IR Iran;IRN;22;1609.85
23;Austria;AUT;23;1589.84
24;Korea Republic;KOR;24;1585.45
25;Ecuador;ECU;25;1560.13
26;Ukraine;UKR;26;1554.94
27;Australia;AUS;27;1544.15
28;Sweden;SWE;28;1540.20
29;Türkiye;TUR;29;1537.24
30;Wales;WAL;30;1534.39
31;Hungary;HUN;31;1517.57
32;Canada;CAN;32;1515.96
33;Serbia;SRB;33;1514.28
34;Egypt;EGY;34;1513.48
35;Russia;RUS;35;1512.32
36;Poland;POL;36;1510.62
37;Panama;PAN;37;1504.39
38;Algeria;ALG;38;1495.85
39;Romania;ROU;39;1494.20
40;Greece;GRE;40;1489.88
41;Peru;PER;41;1488.42
42;Slovakia;SVK;42;1486.19
43;Czechia;CZE;43;1484.88
44;Nigeria;NGA;44;1482.23
45;Scotland;SCO;45;1480.24
46;Côte d'Ivoire;CIV;46;1478.47
47;Venezuela;VEN;47;1475.71
48;Qatar;QAT;48;1474.60
49;Cameroon;CMR;49;1471.49
50;Chile;CHI;50;1469.44
51;Mali;MLI;51;1466.10
52;Tunisia;TUN;52;1464.42
53;Paraguay;PAR;53;1458.26
54;Costa Rica;CRC;54;1454.99
55;Slovenia;SVN;55;1454.25
56;Iraq;IRQ;56;1442.86
57;South Africa;RSA;57;1428.87
58;Uzbekistan;UZB;58;1424.93
59;Saudi Arabia;KSA;59;1406.56
60;Republic of Ireland;IRL;60;1400.22
61;Congo DR;COD;61;1395.77
62;Jamaica;JAM;62;1390.85
63;United Arab Emirates;UAE;63;1385.57
64;Jordan;JOR;64;1375.91
65;Albania;ALB;65;1375.57
66;Burkina Faso;BFA;66;1373.76
67;North Macedonia;MKD;67;1368.96
68;Georgia;GEO;68;1362.21
69;Finland;FIN;69;1361.53
70;Iceland;ISL;70;1355.10
71;Northern Ireland;NIR;71;1349.58
72;Cabo Verde;CPV;72;1328.51
73;Montenegro;MNE;73;1326.76
74;Bosnia and Herzegovina;BIH;74;1326.69
75;Honduras;HON;75;1325.93
76;Israel;ISR;76;1322.25
77;Ghana;GHA;77;1320.52
78;Guinea;GUI;78;1311.88
79;Bolivia;BOL;79;1308.58
80;Oman;OMA;80;1306.67
81;Bahrain;BHR;81;1305.52
82;Bulgaria;BUL;82;1301.04
83;El Salvador;SLV;83;1300.81
84;Gabon;GAB;84;1297.87
85;Angola;ANG;85;1296.48
86;Haiti;HAI;86;1287.75
87;Zambia;ZAM;87;1279.24
88;Uganda;UGA;88;1270.42
89;Aotearoa New Zealand;NZL;89;1269.83
90;China PR;CHN;90;1266.38
91;Curaçao;CUW;91;1264.78
92;Luxembourg;LUX;92;1256.42
93;Equatorial Guinea;EQG;93;1256.20
94;Benin;BEN;94;1250.99
95;Syria;SYR;95;1249.47
96;Mozambique;MOZ;96;1232.70
97;Thailand;THA;97;1228.24
98;Belarus;BLR;98;1226.31
99;Kosovo;KOS;99;1219.82
100;Armenia;ARM;100;1219.15
101;Palestine;PLE;101;1215.87
102;Trinidad and Tobago;TRI;102;1214.81
103;Comoros;COM;103;1208.99
104;Tajikistan;TJK;104;1203.08
105;Guatemala;GUA;105;1201.35
106;Tanzania;TAN;106;1199.33
107;Kyrgyz Republic;KGZ;107;1194.19
108;Kenya;KEN;108;1189.65
109;Mauritania;MTN;109;1183.16
110;Kazakhstan;KAZ;110;1180.18
111;Namibia;NAM;111;1179.26
112;Lebanon;LBN;112;1168.10
113;Sudan;SDN;113;1165.41
114;Korea DPR;PRK;114;1164.41
115;Madagascar;MAD;115;1162.02
116;Vietnam;VIE;116;1161.11
117;Azerbaijan;AZE;117;1158.70
118;Libya;LBY;118;1158.03
119;Togo;TOG;119;1152.18
120;Guinea-Bissau;GNB;120;1151.72
121;Zimbabwe;ZIM;121;1151.06
122;Niger;NIG;122;1145.96
123;Estonia;EST;123;1142.53
124;Rwanda;RWA;124;1136.06
125;Indonesia;IDN;125;1135.11
126;The Gambia;GAM;126;1134.69
127;India;IND;127;1133.62
128;Congo;CGO;128;1132.65
129;Sierra Leone;SLE;129;1132.06
130;Cyprus;CYP;130;1131.32
131;Malawi;MWI;131;1129.31
132;Malaysia;MAS;132;1117.05
133;Nicaragua;NCA;133;1114.28
134;Kuwait;KUW;134;1109.16
135;Central African Republic;CTA;135;1102.23
136;Botswana;BOT;136;1098.85
137;Faroe Islands;FRO;137;1096.88
138;Suriname;SUR;138;1096.60
139;Burundi;BDI;139;1087.26
140;Latvia;LVA;140;1084.11
141;Dominican Republic;DOM;141;1083.36
142;Lithuania;LTU;142;1069.96
143;Turkmenistan;TKM;143;1065.42
144;St Kitts and Nevis;SKN;144;1064.99
145;Liberia;LBR;145;1063.04
146;Ethiopia;ETH;146;1059.94
147;Fiji;FIJ;147;1049.15
148;Solomon Islands;SOL;148;1048.75
149;Philippines;PHI;149;1047.73
150;Lesotho;LES;150;1046.76
151;Moldova;MDA;151;1045.59
152;New Caledonia;NCL;152;1034.43
153;Tahiti;TAH;153;1031.47
154;Guyana;GUY;154;1030.60
155;Afghanistan;AFG;155;1025.00
156;Hong Kong;HKG;156;1024.58
157;Puerto Rico;PUR;157;1022.83
158;Yemen;YEM;158;1017.84
159;Eswatini;SWZ;159;1015.25
160;Antigua and Barbuda;ATG;160;1010.97
161;Singapore;SGP;161;1007.83
162;Maldives;MDV;162;1001.39
163;Vanuatu;VAN;163;996.21
164;Cuba;CUB;164;994.43
165;Chinese Taipei;TPE;165;990.92
166;Bermuda;BER;166;988.19
167;Myanmar;MYA;167;986.15
168;St Lucia;LCA;168;985.72
169;Malta;MLT;169;983.95
170;South Sudan;SSD;170;973.55
171;Andorra;AND;171;971.54
172;Papua New Guinea;PNG;172;963.22
173;St Vincent and the Grenadines;VIN;173;961.92
174;Grenada;GRN;174;955.44
175;Nepal;NEP;175;939.20
176;Chad;CHA;176;935.41
177;Barbados;BRB;177;933.30
178;Belize;BLZ;178;925.02
179;Mauritius;MRI;179;923.46
180;Cambodia;CAM;180;922.32
181;Montserrat;MSR;181;914.26
182;Bhutan;BHU;182;904.06
183;Dominica;DMA;183;900.00
184;Brunei Darussalam;BRU;184;899.87
185;Bangladesh;BAN;185;898.81
186;Laos;LAO;186;889.54
187;Mongolia;MNG;187;883.57
188;American Samoa;ASA;188;883.17
189;São Tomé and Príncipe;STP;189;878.09
190;Cook Islands;COK;190;877.53
191;Djibouti;DJI;191;877.37
192;Samoa;SAM;192;876.41
193;Macau;MAC;193;871.52
194;Cayman Islands;CAY;194;866.71
195;Aruba;ARU;195;858.00
196;Timor-Leste;TLS;196;850.83
197;Gibraltar;GIB;197;848.58
198;Pakistan;PAK;198;842.59
199;Tonga;TGA;199;835.64
200;Sri Lanka;SRI;200;832.80
201;Seychelles;SEY;201;831.19
202;Somalia;SOM;202;829.81
203;Guam;GUM;203;821.91
204;Liechtenstein;LIE;204;821.71
205;Turks and Caicos Islands;TCA;205;803.98
206;Bahamas;BAH;206;786.82
207;British Virgin Islands;VGB;207;780.30
208;US Virgin Islands;VIR;208;779.71
209;Anguilla;AIA;209;769.31
210;San Marino;SMR;210;747.42
